conv_parameters,occurrences,models
1 168 1 1 672 1 1 0 0 0 0 1 1 1 1 1 0 1,12,deeplabv3_mobilenet_v3_large fasterrcnn_mobilenet_v3_large_fpn lraspp_mobilenet_v3_large mobilenet_v3_large ssdlite320_mobilenet_v3_large fasterrcnn_mobilenet_v3_large_320_fpn
1 672 1 1 168 1 1 0 0 0 0 1 1 1 1 1 0 1,12,deeplabv3_mobilenet_v3_large fasterrcnn_mobilenet_v3_large_fpn lraspp_mobilenet_v3_large mobilenet_v3_large ssdlite320_mobilenet_v3_large fasterrcnn_mobilenet_v3_large_320_fpn
1 1344 14 14 1344 3 3 1 1 1 1 1 1 1 1 8 0 0,12,regnet_x_32gf
1 256 28 28 512 1 1 0 0 0 0 1 1 1 1 1 0 0,12,wide_resnet50_2 wide_resnet101_2 resnext50_32x4d
1 768 17 17 192 1 1 0 0 0 0 1 1 1 1 1 0 0,12,inception_v3
1 512 65 65 2048 1 1 0 0 0 0 1 1 1 1 1 0 0,12,fcn_resnet101 deeplabv3_resnet101 deeplabv3_resnet50 fcn_resnet50
1 576 14 14 576 3 3 1 1 1 1 1 1 1 1 24 0 0,12,regnet_y_3_2gf
1 128 65 65 128 3 3 1 1 1 1 1 1 1 1 1 0 0,12,fcn_resnet101 deeplabv3_resnet101 deeplabv3_resnet50 fcn_resnet50
1 512 65 65 128 1 1 0 0 0 0 1 1 1 1 1 0 0,12,fcn_resnet101 deeplabv3_resnet101 deeplabv3_resnet50 fcn_resnet50
1 192 28 28 48 3 3 1 1 1 1 1 1 1 1 1 0 0,12,densenet161
1 2304 19 19 2304 5 5 2 2 2 2 1 1 1 1 2304 0 0,12,efficientnet_b7
1 2304 19 19 384 1 1 0 0 0 0 1 1 1 1 1 0 0,12,efficientnet_b7
1 256 56 56 128 1 1 0 0 0 0 1 1 1 1 1 0 0,12,resnet101 resnext50_32x4d wide_resnet50_2 densenet201 resnet152 resnet50 densenet121 wide_resnet101_2 densenet169
1 64 130 130 64 3 3 1 1 1 1 1 1 1 1 1 0 0,12,fcn_resnet101 deeplabv3_resnet101 deeplabv3_resnet50 fcn_resnet50
1 1392 14 14 1392 3 3 1 1 1 1 1 1 1 1 6 0 0,11,regnet_y_32gf
1 120 28 28 120 1 1 0 0 0 0 1 1 1 1 1 0 0,11,regnet_y_1_6gf
1 348 1 1 1392 1 1 0 0 0 0 1 1 1 1 1 0 1,11,regnet_y_32gf
1 400 7 7 400 3 3 1 1 1 1 1 1 1 1 25 0 0,11,regnet_x_400mf
1 2048 7 7 2048 1 1 0 0 0 0 1 1 1 1 1 0 0,11,regnet_x_16gf resnext101_64x4d resnext101_32x8d
1 2064 1 1 86 1 1 0 0 0 0 1 1 1 1 1 0 1,11,efficientnet_b6
1 344 17 17 2064 1 1 0 0 0 0 1 1 1 1 1 0 0,11,efficientnet_b6
1 440 7 7 440 1 1 0 0 0 0 1 1 1 1 1 0 0,11,regnet_y_400mf
1 144 1 1 6 1 1 0 0 0 0 1 1 1 1 1 0 1,11,efficientnet_b1 efficientnet_b3 efficientnet_b4 efficientnet_b2 efficientnet_b0 efficientnet_b5
1 6 1 1 144 1 1 0 0 0 0 1 1 1 1 1 0 1,11,efficientnet_b1 efficientnet_b3 efficientnet_b4 efficientnet_b2 efficientnet_b0 efficientnet_b5
1 208 14 14 208 1 1 0 0 0 0 1 1 1 1 1 0 0,11,regnet_y_400mf
1 86 1 1 2064 1 1 0 0 0 0 1 1 1 1 1 0 1,11,efficientnet_b6
1 1392 1 1 348 1 1 0 0 0 0 1 1 1 1 1 0 1,11,regnet_y_32gf
1 256 100 100 256 3 3 1 1 1 1 1 1 1 1 1 0 0,10,fasterrcnn_resnet50_fpn_v2 retinanet_resnet50_fpn_v2 maskrcnn_resnet50_fpn_v2
1 256 25 25 256 3 3 1 1 1 1 1 1 1 1 1 0 0,10,fasterrcnn_resnet50_fpn_v2 retinanet_resnet50_fpn_v2 maskrcnn_resnet50_fpn_v2
1 224 38 38 1344 1 1 0 0 0 0 1 1 1 1 1 0 0,10,efficientnet_b7
1 2064 17 17 344 1 1 0 0 0 0 1 1 1 1 1 0 0,10,efficientnet_b6
1 160 38 38 960 1 1 0 0 0 0 1 1 1 1 1 0 0,10,efficientnet_b7
1 2064 17 17 2064 5 5 2 2 2 2 1 1 1 1 2064 0 0,10,efficientnet_b6
1 512 7 7 2048 1 1 0 0 0 0 1 1 1 1 1 0 0,10,resnet152 resnet50 maxvit_t resnet101
1 48 1 1 1152 1 1 0 0 0 0 1 1 1 1 1 0 1,10,efficientnet_v2_l efficientnet_b1 efficientnet_b0
1 1152 1 1 48 1 1 0 0 0 0 1 1 1 1 1 0 1,10,efficientnet_v2_l efficientnet_b1 efficientnet_b0
1 1232 14 14 1232 3 3 1 1 1 1 1 1 1 1 11 0 0,10,regnet_y_16gf
1 1232 1 1 308 1 1 0 0 0 0 1 1 1 1 1 0 1,10,regnet_y_16gf
1 240 1 1 960 1 1 0 0 0 0 1 1 1 1 1 0 1,10,deeplabv3_mobilenet_v3_large fasterrcnn_mobilenet_v3_large_fpn lraspp_mobilenet_v3_large mobilenet_v3_large fasterrcnn_mobilenet_v3_large_320_fpn
1 308 1 1 1232 1 1 0 0 0 0 1 1 1 1 1 0 1,10,regnet_y_16gf
1 512 100 100 256 1 1 0 0 0 0 1 1 1 1 1 0 0,10,keypointrcnn_resnet50_fpn fasterrcnn_resnet50_fpn_v2 retinanet_resnet50_fpn maskrcnn_resnet50_fpn fasterrcnn_resnet50_fpn fcos_resnet50_fpn retinanet_resnet50_fpn_v2 maskrcnn_resnet50_fpn_v2
1 960 1 1 240 1 1 0 0 0 0 1 1 1 1 1 0 1,10,deeplabv3_mobilenet_v3_large fasterrcnn_mobilenet_v3_large_fpn lraspp_mobilenet_v3_large mobilenet_v3_large fasterrcnn_mobilenet_v3_large_320_fpn
1 256 200 200 256 3 3 1 1 1 1 1 1 1 1 1 0 1,10,keypointrcnn_resnet50_fpn fasterrcnn_resnet50_fpn_v2 maskrcnn_resnet50_fpn fasterrcnn_resnet50_fpn maskrcnn_resnet50_fpn_v2
1 224 1 1 896 1 1 0 0 0 0 1 1 1 1 1 0 1,9,regnet_y_8gf
1 896 1 1 224 1 1 0 0 0 0 1 1 1 1 1 0 1,9,regnet_y_8gf
1 896 14 14 896 3 3 1 1 1 1 1 1 1 1 16 0 0,9,regnet_y_8gf
1 8 1 1 192 1 1 0 0 0 0 1 1 1 1 1 0 1,9,efficientnet_b6 efficientnet_b4 efficientnet_b7 efficientnet_b3
1 216 28 28 216 1 1 0 0 0 0 1 1 1 1 1 0 0,9,regnet_y_3_2gf
1 696 28 28 696 1 1 0 0 0 0 1 1 1 1 1 0 0,9,regnet_y_32gf
1 48 1 1 768 1 1 0 0 0 0 1 1 1 1 1 0 1,9,efficientnet_v2_l
1 768 30 30 192 1 1 0 0 0 0 1 1 1 1 1 0 0,9,efficientnet_v2_l
1 960 38 38 960 3 3 1 1 1 1 1 1 1 1 960 0 0,9,efficientnet_b7
1 192 30 30 768 1 1 0 0 0 0 1 1 1 1 1 0 0,9,efficientnet_v2_l
1 768 30 30 768 3 3 1 1 1 1 1 1 1 1 768 0 0,9,efficientnet_v2_l
1 408 14 14 408 3 3 1 1 1 1 1 1 1 1 17 0 0,9,regnet_x_1_6gf
1 672 7 7 672 1 1 0 0 0 0 1 1 1 1 1 0 0,9,regnet_x_800mf
1 256 56 56 512 1 1 0 0 0 0 2 2 1 1 1 0 0,9,regnet_x_16gf resnext101_64x4d resnext50_32x4d wide_resnet50_2 resnext101_32x8d resnet152 resnet50 resnet101 wide_resnet101_2
1 128 56 56 256 1 1 0 0 0 0 1 1 1 1 1 0 0,9,wide_resnet50_2 wide_resnet101_2 resnext50_32x4d
1 240 28 28 240 1 1 0 0 0 0 1 1 1 1 1 0 0,9,regnet_x_8gf
1 192 1 1 8 1 1 0 0 0 0 1 1 1 1 1 0 1,9,efficientnet_b6 efficientnet_b4 efficientnet_b7 efficientnet_b3
1 1024 7 7 2048 1 1 0 0 0 0 1 1 1 1 1 0 0,9,wide_resnet50_2 wide_resnet101_2 resnext50_32x4d
