ID,Image batch,Image channel,Image height,Image width,Output depth,Output height,Output width,Filter height,Filter width,Padding top,Padding bottom,Padding left,Padding right,Stride height,Stride width,Dilation height,Dilation width,Grouped
1001,1,1024,28,28,1024,28,28,3,3,1,1,1,1,1,1,1,1,1
1002,1,1024,14,14,1024,14,14,3,3,1,1,1,1,1,1,1,1,1
1003,1,128,64,64,256,64,64,3,3,1,1,1,1,1,1,1,1,1
1004,1,64,56,56,128,56,56,3,3,1,1,1,1,1,1,1,1,1
1005,1,128,28,28,256,28,28,3,3,1,1,1,1,1,1,1,1,1
1006,1,256,14,14,512,14,14,3,3,1,1,1,1,1,1,1,1,1
1007,1,3,160,160,32,80,80,3,3,1,1,1,1,2,2,1,1,1
1008,1,32,80,80,32,80,80,3,3,1,1,1,1,1,1,1,1,1
1009,1,32,80,80,64,80,80,3,3,1,1,1,1,1,1,1,1,1
1010,1,64,80,80,64,40,40,3,3,1,1,1,1,2,2,1,1,1
1011,1,64,40,40,64,40,40,3,3,1,1,1,1,1,1,1,1,1
1012,1,128,40,40,128,20,20,3,3,1,1,1,1,2,2,1,1,1
1013,1,128,20,20,128,20,20,3,3,1,1,1,1,1,1,1,1,1
1014,1,256,20,20,256,10,10,3,3,1,1,1,1,2,2,1,1,1
1015,1,256,10,10,256,10,10,3,3,1,1,1,1,1,1,1,1,1
1016,1,512,10,10,512,5,5,3,3,1,1,1,1,2,2,1,1,1
1017,1,512,5,5,512,5,5,3,3,1,1,1,1,1,1,1,1,1
1018,1,3,192,192,32,96,96,3,3,1,1,1,1,2,2,1,1,1
1019,1,32,96,96,32,96,96,3,3,1,1,1,1,1,1,1,1,1
1020,1,32,96,96,64,96,96,3,3,1,1,1,1,1,1,1,1,1
1021,1,64,96,96,64,48,48,3,3,1,1,1,1,2,2,1,1,1
1022,1,64,48,48,64,48,48,3,3,1,1,1,1,1,1,1,1,1
1023,1,128,48,48,128,24,24,3,3,1,1,1,1,2,2,1,1,1
1024,1,128,24,24,128,24,24,3,3,1,1,1,1,1,1,1,1,1
1025,1,256,24,24,256,12,12,3,3,1,1,1,1,2,2,1,1,1
1026,1,256,12,12,256,12,12,3,3,1,1,1,1,1,1,1,1,1
1027,1,512,12,12,512,6,6,3,3,1,1,1,1,2,2,1,1,1
1028,1,3,288,288,32,144,144,3,3,1,1,1,1,2,2,1,1,1
1029,1,32,144,144,32,144,144,3,3,1,1,1,1,1,1,1,1,1
1030,1,32,144,144,64,144,144,3,3,1,1,1,1,1,1,1,1,1
